                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.8272,                 2.6738,                 2.2198,                0.36684,                0.35625,                0.32692,                0.15117,                  1.859,                 2.4066,                 2.3938,             0.00035936,             0.00035936,             0.00035936
                     35,                 1.8204,                 2.6104,                 2.2086,                0.37556,                0.41411,                 0.3619,                0.16846,                 1.8298,                 2.4539,                 2.3456,             0.00035416,             0.00035416,             0.00035416
                     36,                 1.7889,                 2.5914,                  2.198,                0.37169,                0.38488,                0.34458,                0.15632,                 1.8288,                 2.4261,                 2.3583,             0.00034895,             0.00034895,             0.00034895
                     37,                 1.8079,                 2.6176,                 2.2119,                0.41486,                0.41192,                0.35212,                  0.157,                 1.8458,                 2.3476,                 2.3952,             0.00034374,             0.00034374,             0.00034374
                     38,                 1.8123,                 2.5572,                  2.191,                0.48697,                0.40832,                0.40698,                0.19397,                 1.7554,                 2.2141,                 2.2867,             0.00033853,             0.00033853,             0.00033853
                     39,                 1.7818,                 2.5286,                 2.1885,                 0.4268,                0.43154,                0.41044,                0.19355,                 1.8171,                 2.2278,                 2.3232,             0.00033333,             0.00033333,             0.00033333
                     40,                 1.7855,                 2.5194,                 2.1697,                 0.4679,                0.42352,                0.43431,                0.20902,                 1.7538,                 2.1381,                 2.3083,             0.00032812,             0.00032812,             0.00032812
                     41,                 1.7771,                 2.4916,                 2.1752,                0.47882,                0.45128,                0.43369,                0.20948,                 1.7494,                 2.0978,                 2.2774,             0.00032291,             0.00032291,             0.00032291
                     42,                 1.7655,                 2.4383,                 2.1719,                0.50184,                0.49086,                0.47449,                0.23202,                 1.7377,                 1.9941,                 2.2582,              0.0003177,              0.0003177,              0.0003177
                     43,                 1.7702,                 2.4574,                 2.1469,                0.49802,                0.45115,                0.45595,                0.22349,                 1.7414,                 2.1041,                 2.2755,              0.0003125,              0.0003125,              0.0003125
                     44,                 1.7625,                 2.4526,                 2.1633,                0.45779,                0.45187,                 0.4365,                0.21128,                 1.7618,                 2.2552,                 2.3045,             0.00030729,             0.00030729,             0.00030729
                     45,                  1.773,                 2.3992,                  2.163,                0.51516,                0.48971,                0.50036,                0.24928,                 1.6998,                 1.9785,                 2.2315,             0.00030208,             0.00030208,             0.00030208
                     46,                 1.7583,                 2.3972,                 2.1623,                0.51223,                0.50173,                0.48964,                0.24238,                 1.7176,                 1.9676,                 2.2494,             0.00029687,             0.00029687,             0.00029687
                     47,                 1.7512,                 2.3495,                 2.1438,                0.52825,                0.46666,                0.49381,                0.25299,                 1.7012,                 1.9292,                 2.2192,             0.00029167,             0.00029167,             0.00029167
                     48,                 1.7411,                 2.3604,                 2.1256,                  0.541,                0.51084,                0.51554,                0.26634,                 1.7049,                 1.9033,                 2.2299,             0.00028646,             0.00028646,             0.00028646
                     49,                 1.7277,                 2.3072,                 2.1264,                0.52519,                0.50788,                0.51292,                0.25516,                 1.7313,                 1.9093,                 2.2412,             0.00028125,             0.00028125,             0.00028125
                     50,                 1.7357,                 2.2998,                 2.1299,                0.57083,                0.50829,                0.53626,                0.27796,                 1.6908,                 1.8393,                 2.2047,             0.00027604,             0.00027604,             0.00027604
                     51,                 1.7351,                 2.2421,                 2.1233,                0.59194,                0.52161,                 0.5475,                0.27832,                 1.6836,                 1.8608,                 2.1995,             0.00027084,             0.00027084,             0.00027084
                     52,                  1.743,                 2.2601,                 2.1291,                0.55446,                0.53064,                0.54011,                0.27139,                   1.71,                 1.9134,                 2.2111,             0.00026563,             0.00026563,             0.00026563
                     53,                 1.7171,                  2.162,                 2.0986,                0.60306,                0.52765,                0.57212,                 0.2987,                 1.6507,                  1.802,                 2.1659,             0.00026042,             0.00026042,             0.00026042
                     54,                 1.7139,                 2.1865,                 2.0921,                0.58444,                0.52603,                0.56553,                0.28339,                  1.715,                 1.7708,                 2.2548,             0.00025522,             0.00025522,             0.00025522
                     55,                 1.6907,                 2.1685,                 2.0914,                 0.6126,                0.54279,                0.58887,                 0.3103,                 1.6352,                 1.7166,                 2.1654,             0.00025001,             0.00025001,             0.00025001
                     56,                 1.7062,                  2.146,                 2.1025,                0.62176,                0.55022,                0.60515,                0.31478,                 1.6414,                 1.7497,                 2.1533,              0.0002448,              0.0002448,              0.0002448
                     57,                 1.6699,                 2.1713,                 2.0783,                0.65355,                0.57498,                0.62674,                0.33407,                 1.5954,                 1.6181,                 2.1288,             0.00023959,             0.00023959,             0.00023959
                     58,                 1.6756,                 2.0809,                 2.0793,                0.60851,                0.55703,                0.60101,                0.31669,                 1.6373,                  1.714,                 2.1626,             0.00023439,             0.00023439,             0.00023439
                     59,                 1.6861,                 2.0946,                 2.0751,                0.63701,                0.58345,                0.62922,                0.33722,                 1.6088,                 1.6087,                 2.1361,             0.00022918,             0.00022918,             0.00022918
                     60,                 1.6557,                 2.0703,                 2.0698,                0.65557,                0.58305,                0.65001,                0.34142,                 1.6314,                 1.5876,                 2.1701,             0.00022397,             0.00022397,             0.00022397
                     61,                 1.6742,                 2.0899,                 2.0691,                0.68251,                0.60025,                0.65695,                0.35412,                 1.5857,                 1.5713,                 2.1262,             0.00021876,             0.00021876,             0.00021876
                     62,                 1.6568,                 2.0493,                 2.0549,                0.67078,                 0.5924,                0.65799,                0.35582,                  1.613,                  1.551,                 2.1347,             0.00021356,             0.00021356,             0.00021356
                     63,                 1.6606,                 2.0055,                  2.044,                0.65257,                0.58453,                0.64154,                0.34351,                 1.6075,                 1.6086,                 2.1218,             0.00020835,             0.00020835,             0.00020835
                     64,                 1.6484,                 2.0213,                 2.0492,                0.66631,                0.62999,                0.66602,                0.36462,                  1.553,                 1.5613,                 2.0869,             0.00020314,             0.00020314,             0.00020314
                     65,                 1.6383,                 2.0059,                 2.0257,                0.68288,                0.63095,                0.69861,                0.38043,                 1.5837,                 1.4896,                 2.1138,             0.00019793,             0.00019793,             0.00019793
